Macro Região;UF;Região;Município;Código Município;Qtd. Empregos Hospedagem;Qtd. Estabelecimentos Hospedagem;Demanda Internacional;Demanda Doméstica;Cluster 2017 (Categoria)
Nordeste;AL;Lagoas e Mares do Sul;Santa Luzia do Norte;2707909;0;0;0;0;E
Nordeste;AL; Região da Caatinga;Santana do Ipanema;2708006;7;6;0;3.499;D
Nordeste;AL; Caminhos do São Francisco;São Brás;2708204;0;0;0;29.010;D
Nordeste;AL;Quilombos;São José da Laje;2708303;2;2;0;0;D
Nordeste;AL; Lagoas e Mares do Sul;São Miguel dos Campos;2708600;15;5;0;7.096;D
Nordeste;AL;Costa dos Corais;São Miguel dos Milagres;2708709;214;22;1.657;15.449;B
Nordeste;AL; Agreste;São Sebastião;2708808;5;2;0;0;D
Nordeste;AL;Região da Caatinga;Senador Rui Palmeira;2708956;0;0;0;0;E
Nordeste;AL; Agreste;Tanque d'Arca;2709004;0;0;0;0;E
Nordeste;AL; Agreste;Teotônio Vilela;2709152;1;3;45;6.160;D
Nordeste;AL;Caminhos do São Francisco;Traipu;2709202;0;0;0;794;D
Nordeste;AL;Quilombos;União dos Palmares;2709301;18;4;0;1.872;D
Nordeste;AL; Quilombos;Viçosa;2709400;8;3;0;36.106;D
Nordeste;BA;Chapada Diamantina;Abaíra;2900108;0;2;0;0;D
Nordeste;BA;Caminhos do Sertão;Adustina;2900355;0;0;0;468;D
Nordeste;BA;Caminhos do Sertão;Alagoinhas;2900702;108;11;557;91.504;C
